Contig name	Start	End	Scaffold name
9660	1112158	1113606	scaffold_4
9659	1113706	1120593	scaffold_4
9306	1120693	1122755	scaffold_4
4272	1122855	1124576	scaffold_4
9347	1124676	1127916	scaffold_4
5716	1128016	1131864	scaffold_4
10189	1131964	1134688	scaffold_4
9908	1134788	1143732	scaffold_4
9336	1143832	1149283	scaffold_4
9893	1149383	1153533	scaffold_4
9848	1153633	1157717	scaffold_4
10181	1157817	1163498	scaffold_4
10062	0	4335	scaffold_5
903	4435	11254	scaffold_5
10365	11354	16858	scaffold_5
9385	16958	19554	scaffold_5
9356	19654	29125	scaffold_5
10176	29225	35311	scaffold_5
9989	35411	46696	scaffold_5
4848	46796	48340	scaffold_5
7072	48440	49971	scaffold_5
9687	50071	53309	scaffold_5
10130	53409	55777	scaffold_5
9921	55877	60135	scaffold_5
9844	60235	63205	scaffold_5
9801	63305	65865	scaffold_5
9825	65965	69632	scaffold_5
9471	69732	77155	scaffold_5
9946	77255	83679	scaffold_5
9314	83779	85173	scaffold_5
9102	85273	93853	scaffold_5
9586	93953	115647	scaffold_5
1512	115747	117828	scaffold_5
10179	117928	127179	scaffold_5
9593	127279	141955	scaffold_5
10283	142055	143280	scaffold_5
9493	143380	145973	scaffold_5
9512	146073	151825	scaffold_5
10077	151925	154545	scaffold_5
9458	154645	155927	scaffold_5
249	156027	158012	scaffold_5
2728	158112	163629	scaffold_5
9264	163729	169645	scaffold_5
9773	169745	172541	scaffold_5
2102	172641	177368	scaffold_5
10296	177468	178992	scaffold_5
9169	179092	182817	scaffold_5
9542	182917	186030	scaffold_5
9085	186130	187979	scaffold_5
10456	188079	194222	scaffold_5
9758	194322	198362	scaffold_5
2749	198462	202563	scaffold_5
9525	202663	207053	scaffold_5
10247	207153	211445	scaffold_5
5305	211545	215456	scaffold_5
5726	215556	219138	scaffold_5
4838	219238	221033	scaffold_5
5542	221133	228373	scaffold_5
9926	228473	243145	scaffold_5
10317	243245	248273	scaffold_5
9793	248373	262626	scaffold_5
10466	262726	264815	scaffold_5
10206	264915	274928	scaffold_5
9477	275028	277839	scaffold_5
9129	277939	284070	scaffold_5
10276	284170	291035	scaffold_5
9531	291135	306383	scaffold_5
10147	306483	313468	scaffold_5
5902	313568	315216	scaffold_5
10216	315316	318757	scaffold_5
2283	318857	320063	scaffold_5
4125	320163	322257	scaffold_5
10386	322357	324063	scaffold_5
9616	324163	331909	scaffold_5
9259	332009	334472	scaffold_5
9300	334572	338563	scaffold_5
10121	338663	344214	scaffold_5
10260	344314	349919	scaffold_5
7279	350019	354976	scaffold_5
4683	355076	357489	scaffold_5
9291	357589	360019	scaffold_5
5379	360119	361469	scaffold_5
9410	361569	364347	scaffold_5
566	364447	366536	scaffold_5
10007	366636	371685	scaffold_5
9506	371785	378526	scaffold_5
9444	378626	381602	scaffold_5
9625	381702	383866	scaffold_5
5635	383966	386327	scaffold_5
10078	386427	389572	scaffold_5
3940	389672	391199	scaffold_5
10311	391299	393560	scaffold_5
10333	393660	398813	scaffold_5
9981	398913	403254	scaffold_5
10081	403354	431852	scaffold_5
10091	431952	437152	scaffold_5
10128	437252	440026	scaffold_5
9242	440126	443840	scaffold_5
10450	443940	455992	scaffold_5
9750	456092	460905	scaffold_5
10290	461005	474565	scaffold_5
9288	474665	482481	scaffold_5
10236	482581	484384	scaffold_5
1686	484484	492575	scaffold_5
9835	492675	504127	scaffold_5
363	504227	508472	scaffold_5
9527	508572	516159	scaffold_5
9675	516259	517838	scaffold_5
10252	517938	521946	scaffold_5
9898	522046	524882	scaffold_5
10163	524982	527499	scaffold_5
9823	527599	532755	scaffold_5
9749	532855	537706	scaffold_5
10136	537806	542761	scaffold_5
9588	542861	549665	scaffold_5
962	549765	551567	scaffold_5
10240	551667	553692	scaffold_5
4489	553792	556146	scaffold_5
6072	556246	558561	scaffold_5
9904	558661	569728	scaffold_5
1019	569828	572536	scaffold_5
9218	572636	581727	scaffold_5
9219	581827	583752	scaffold_5
9920	583852	591701	scaffold_5
9324	591801	595219	scaffold_5
9451	595319	598050	scaffold_5
5789	598150	601505	scaffold_5
9852	601605	610673	scaffold_5
10111	610773	621048	scaffold_5
9949	621148	639156	scaffold_5
9271	639256	641512	scaffold_5
10183	641612	649486	scaffold_5
9756	649586	652953	scaffold_5
10447	653053	655126	scaffold_5
9114	655226	699933	scaffold_5
6386	700033	702646	scaffold_5
10010	702746	718262	scaffold_5
9784	718362	721382	scaffold_5
9403	721482	723737	scaffold_5
9401	723837	727297	scaffold_5
9404	727397	729715	scaffold_5
9927	729815	738177	scaffold_5
9221	738277	769813	scaffold_5
9497	769913	773184	scaffold_5
9430	773284	775102	scaffold_5
9986	775202	780412	scaffold_5
9872	780512	785920	scaffold_5
9597	786020	789521	scaffold_5
9255	789621	795327	scaffold_5
10211	795427	801310	scaffold_5
10168	801410	802741	scaffold_5
9253	802841	806225	scaffold_5
10377	806325	808406	scaffold_5
10220	808506	811934	scaffold_5
1785	812034	816860	scaffold_5
9308	816960	826990	scaffold_5
9486	827090	842661	scaffold_5
10468	842761	853855	scaffold_5
9495	853955	863118	scaffold_5
9755	863218	869139	scaffold_5
9131	869239	873964	scaffold_5
9853	874064	883409	scaffold_5
9260	883509	888346	scaffold_5
3850	888446	892213	scaffold_5
10127	892313	905217	scaffold_5
6156	905317	906544	scaffold_5
10068	906644	911637	scaffold_5
10169	911737	925919	scaffold_5
9843	926019	935869	scaffold_5
10212	935969	937253	scaffold_5
9307	937353	939608	scaffold_5
9803	939708	945982	scaffold_5
9629	946082	949336	scaffold_5
10388	949436	953173	scaffold_5
1713	953273	955260	scaffold_5
9228	955360	960525	scaffold_5
3369	960625	965546	scaffold_5
10237	965646	967712	scaffold_5
9543	967812	973716	scaffold_5
9691	973816	989301	scaffold_5
9763	989401	1017516	scaffold_5
10313	1017616	1024277	scaffold_5
10427	1024377	1026305	scaffold_5
9530	1026405	1029532	scaffold_5
9889	1029632	1032502	scaffold_5
9957	1032602	1037852	scaffold_5
10159	1037952	1054577	scaffold_5
10055	1054677	1057507	scaffold_5
10397	1057607	1061944	scaffold_5
10398	1062044	1068058	scaffold_5
9138	1068158	1069359	scaffold_5
9582	1069459	1071930	scaffold_5
9427	1072030	1075029	scaffold_5
10164	1075129	1080511	scaffold_5
10363	1080611	1084008	scaffold_5
9713	1084108	1088236	scaffold_5
9474	1088336	1095196	scaffold_5
10410	1095296	1107203	scaffold_5
5691	1107303	1109834	scaffold_5
9124	1109934	1115032	scaffold_5
9583	1115132	1118561	scaffold_5
9373	1118661	1128055	scaffold_5
